horario,pressao,geracao,vazao
"08/02/2023 17:28:24",168,18,24358
"08/02/2023 17:28:24",172,20,24358
"08/02/2023 17:28:24",159,5,24358
"08/02/2023 17:28:24",169,23,24358
"08/02/2023 17:28:25",153,18,24358
"08/02/2023 17:28:25",158,8,24358
"08/02/2023 17:28:25",170,21,24358
"08/02/2023 17:28:25",174,5,24358
"08/02/2023 17:28:25",188,0,24358
"08/02/2023 17:28:25",168,9,24358
"08/02/2023 17:28:25",173,21,24358
"08/02/2023 17:28:25",169,18,24358
"08/02/2023 17:28:25",184,7,24358
"08/02/2023 17:28:25",160,6,24358
"08/02/2023 17:28:26",173,2,24358
"08/02/2023 17:28:26",168,19,24358
"08/02/2023 17:28:26",155,19,24358
"08/02/2023 17:28:26",156,4,24358
"08/02/2023 17:28:26",153,23,24358
"08/02/2023 17:28:26",170,16,24358
"08/02/2023 17:28:26",170,4,24358
"08/02/2023 17:28:26",172,18,24358
"08/02/2023 17:28:26",174,7,24358
"08/02/2023 17:28:26",185,4,24358
"08/02/2023 17:28:27",186,2,24358
"08/02/2023 17:28:27",167,20,24358
"08/02/2023 17:28:27",172,4,24358
"08/02/2023 17:28:27",170,3,24358
"08/02/2023 17:28:27",183,8,24358
"08/02/2023 17:28:27",173,20,24358
"08/02/2023 17:28:27",170,22,24358
"08/02/2023 17:28:27",174,3,24358
"08/02/2023 17:28:27",173,7,24358
"08/02/2023 17:28:27",171,8,24358
"08/02/2023 17:28:28",167,7,24358
"08/02/2023 17:28:28",156,8,24358
"08/02/2023 17:28:28",175,18,24358
"08/02/2023 17:28:28",184,6,24358
"08/02/2023 17:28:28",142,16,24358
"08/02/2023 17:28:28",156,38,24358
"08/02/2023 17:28:28",169,4,24358
"08/02/2023 17:28:28",186,18,24358
"08/02/2023 17:28:28",187,4,24358
"08/02/2023 17:28:28",188,0,24358
"08/02/2023 17:28:29",170,10,24358
"08/02/2023 17:28:29",176,22,24358
"08/02/2023 17:28:29",191,5,24358
"08/02/2023 17:28:29",175,5,24358
"08/02/2023 17:28:29",141,0,24358
"08/02/2023 17:28:29",173,0,24358
"08/02/2023 17:28:29",154,3,24358
"08/02/2023 17:28:29",155,8,24358
"08/02/2023 17:28:29",159,6,24358
"08/02/2023 17:28:29",156,8,24358
"08/02/2023 17:28:30",183,16,24358
"08/02/2023 17:28:30",153,18,24358
"08/02/2023 17:28:30",168,6,24358
"08/02/2023 17:28:30",168,3,24358
"08/02/2023 17:28:30",199,9,24358
"08/02/2023 17:28:30",158,3,24358
"08/02/2023 17:28:30",172,18,24358
"08/02/2023 17:28:30",154,6,24358
"08/02/2023 17:28:30",171,9,24358
"08/02/2023 17:28:30",155,7,24358
"08/02/2023 17:28:31",184,9,24358
"08/02/2023 17:28:31",168,20,24358
"08/02/2023 17:28:31",187,1,24358
"08/02/2023 17:28:31",174,8,24358
"08/02/2023 17:28:31",168,6,24358
"08/02/2023 17:28:31",144,20,24358
"08/02/2023 17:28:31",155,19,24358
"08/02/2023 17:28:31",157,1,24358
"08/02/2023 17:28:31",174,9,24358
"08/02/2023 17:28:31",172,5,24358
"08/02/2023 17:28:32",186,20,24358
"08/02/2023 17:28:32",188,18,24358
"08/02/2023 17:28:32",169,4,24358
"08/02/2023 17:28:32",187,5,24358
"08/02/2023 17:28:32",159,20,24358
"08/02/2023 17:28:32",167,8,24358
"08/02/2023 17:28:32",199,0,24358
"08/02/2023 17:28:32",156,6,24358
"08/02/2023 17:28:32",185,6,24358
"08/02/2023 17:28:32",157,8,24358
"08/02/2023 17:28:33",168,19,24358
"08/02/2023 17:28:33",199,20,24358
"08/02/2023 17:28:33",173,7,24358
"08/02/2023 17:28:33",174,20,24358
"08/02/2023 17:28:33",172,3,24358
"08/02/2023 17:28:33",156,19,24358
"08/02/2023 17:28:33",185,8,24358
"08/02/2023 17:28:33",160,4,24358
"08/02/2023 17:28:33",171,21,24358
"08/02/2023 17:28:33",168,19,24358
"08/02/2023 17:28:34",184,4,24358
"08/02/2023 17:28:34",168,20,24358
"08/02/2023 17:28:34",190,8,24358
"08/02/2023 17:28:34",174,18,24358
"08/02/2023 17:28:34",187,24,24358
"08/02/2023 17:28:34",168,6,24358
"08/02/2023 17:28:34",139,3,24358
"08/02/2023 17:28:34",169,6,24358
"08/02/2023 17:28:34",155,7,24358
"08/02/2023 17:28:34",168,6,24358
"08/02/2023 17:28:35",156,7,24358
"08/02/2023 17:28:35",187,7,24358
"08/02/2023 17:28:35",174,19,24358
"08/02/2023 17:28:35",151,19,24358
"08/02/2023 17:28:35",168,20,24358
"08/02/2023 17:28:35",159,0,24358
"08/02/2023 17:28:35",173,18,24358
"08/02/2023 17:28:35",157,18,24358
"08/02/2023 17:28:35",189,18,24358
"08/02/2023 17:28:35",171,22,24358
"08/02/2023 17:28:36",159,17,24358
"08/02/2023 17:28:36",169,17,24358
"08/02/2023 17:28:36",158,6,24358
"08/02/2023 17:28:36",170,4,24358
"08/02/2023 17:28:36",157,16,24358
"08/02/2023 17:28:36",186,9,24358
"08/02/2023 17:28:36",184,20,24358
"08/02/2023 17:28:36",169,0,24358
"08/02/2023 17:28:36",139,19,24358
"08/02/2023 17:28:36",187,4,24358
"08/02/2023 17:28:37",168,2,24358
"08/02/2023 17:28:37",157,6,24358
"08/02/2023 17:28:37",183,4,24358
"08/02/2023 17:28:37",168,10,24358
"08/02/2023 17:28:37",152,23,24358
"08/02/2023 17:28:37",185,17,24358
"08/02/2023 17:28:37",171,0,24358
"08/02/2023 17:28:37",170,23,24358
"08/02/2023 17:28:37",159,6,24358
"08/02/2023 17:28:37",169,10,24358
"08/02/2023 17:28:38",154,20,24358
"08/02/2023 17:28:38",169,6,24358
"08/02/2023 17:28:38",170,8,24358
"08/02/2023 17:28:38",157,16,24358
"08/02/2023 17:28:38",153,5,24358
